 	Sublocation ID	Station ID	Ice Off Date	Ice On Date	Number of Ice Free Days	Comments	Data Set ID	Update date
239	LA	LAK	19690427	19691116	203		H03	2/7/95
239	LA	LAK	19690428	19691117	183		H03	2/7/95
239	LA	LAK	19690429	19691118	193		H03	2/7/95
239	LA	LAK	19690430	19691119	193		H03	2/7/95
239	LA	LAK	19690501	19691120	201		H03	2/7/95
239	LA	LAK	19690502	19691121	190		H03	2/7/95
239	LA	LAK	19690503	19691122	200		H03	2/7/95
239	LA	LAK	19690504	19691123	199		H03	2/7/95
239	LA	LAK	19690505	19691124	209		H03	2/7/95
239	LA	LAK	19690506	19691125	197		H03	2/7/95
239	LA	LAK	19690507	19691126	182		H03	2/7/95
239	LA	LAK	19690508	19691127	209		H03	2/7/95
239	LA	LAK	19690509	19691128	214		H03	2/7/95
239	LA	LAK	19690510	19691129	203		H03	2/7/95
239	LA	LAK	19690511	19691130	210		H03	2/7/95
239	LA	LAK	19690512	19691201	205	Initally froze over completely Nov. 15 but re-opened 60-80% ice-free until Nov. 29	H03	8/1/07
239	LA	LAK	19690513	19691202	211		H03	2/7/95
239	LA	LAK	19690514	19691203	204		H03	2/7/95
239	LA	LAK	19690515	19691204	218		H03	2/7/95
239	LA	LAK	19690516	19691205	207		H03	2/7/95
239	LA	LAK	19690517	19691206	190		H03	2/7/95
239	LA	LAK	19690518	19691207	207		H03	2/7/95
239	LA	LAK	19690519	19691208	190		H03	2/7/95
239	LA	LAK	19690520	19691209	190		H03	2/7/95
239	LA	LAK	19690521	19691210	195		H03	2/7/95
239	LA	LAK	19690522	19691211	214		H03	2/7/95
239	LA	LAK	19690523	19691212	192		H03	3/18/96
239	LA	LAK	19690524	19691213	181		H03	12/8/00
239	LA	LAK	19690525	19691214	194		H03	12/8/00
239	LA	LAK	19690526	19691215	220	Lake partly opened by 20-30% Nov. 22 to Dec. 10	H03	12/15/06
239	LA	LAK	19690527	19691216	208		H03	12/8/00
239	LA	LAK	19690528	19691217	224	Lake was 90% ice covered on Nov. 22 and 100% on Dec. 1	H03	12/15/06
239	LA	LAK	19690529	19691218	213	Lake was 90% ice covered on Nov. 29 and 100% on Dec. 5	H03	12/15/06
239	LA	LAK	19690530	19691219	185		H03	2/3/03
239	LA	LAK	19690531	19691220	212		H03	3/18/04
239	LA	LAK	19690601	19691221	209		H03	12/8/04
239	LA	LAK	19690602	19691222	222		H03	2/1/06
239	LA	LAK	19690603	19691223	215	Lake was 80% ice covered on Nov. 19 and 100% on Nov. 21	H03	12/15/06
239	LA	LAK	19690604	19691224	208		H03	4/9/08
239	LA	LAK	19690605	19691225	198		H03	12/1/08
239	LA	LAK	19690606	19691226	215		H03	12/14/09
239	LA	LAK	19690607	19691227	228		H03	11/25/10
239	LA	LAK	19690608	19691228	211		H03	1/13/12
